TradeDate,Currency,Ticker,OptionType,TradedStockPrice,NumOptions,Strike,ExpiryDate
2013-01-02,USD,CALL,FB,28.0,860,26,2013-07-01
2013-01-02,USD,CALL,CHK,15.704825,0,16,2013-07-01
2013-01-02,USD,CALL,CHK,15.704825,890,15,2013-12-28
2013-01-03,USD,PUT,AAPL,77.442856,740,80,2013-12-29
2013-01-03,USD,CALL,FB,27.77,410,26,2013-04-03
2013-01-03,USD,PUT,MSFT,27.25,670,28,2013-07-02
2013-01-03,USD,CALL,MSFT,27.25,180,26,2013-12-29
2013-01-03,USD,PUT,AMZN,258.480011,0,257,2013-07-02
2013-01-03,USD,PUT,AMZN,258.480011,100,247,2013-07-02
2013-01-03,USD,CALL,BA,77.470001,160,73,2013-12-29
2013-01-03,USD,PUT,MSFT,27.25,670,27,2013-07-02
2013-01-03,USD,CALL,BA,77.470001,180,75,2013-04-03
2013-01-04,USD,PUT,XRX,18.735178,650,18,2013-04-04
2013-01-04,USD,PUT,AMZN,259.149994,810,250,2013-12-30
2013-01-04,USD,PUT,CHK,16.508987,450,15,2013-04-04
2013-01-04,USD,CALL,MSFT,26.74,210,27,2013-04-04
2013-01-07,USD,CALL,AAPL,74.842857,390,72,2013-07-06
2013-01-07,USD,PUT,BA,76.129997,650,78,2013-07-06
2013-01-07,USD,CALL,AMZN,268.459991,670,261,2014-01-02
2013-01-09,USD,PUT,XRX,19.025032,810,19,2014-01-04
2013-01-09,USD,CALL,BA,76.760002,840,75,2013-04-09
2013-01-10,USD,PUT,CHK,15.827814000000002,350,15,2013-07-09
2013-01-10,USD,PUT,AAPL,74.78714000000001,660,77,2013-07-09
2013-01-10,USD,PUT,AAPL,74.78714000000001,40,75,2014-01-05
2013-01-10,USD,CALL,BA,77.089996,460,80,2014-01-05
2013-01-10,USD,CALL,XRX,19.209486,620,18,2013-07-09
2013-01-10,USD,CALL,MSFT,26.459999,640,25,2013-04-10
2013-01-11,USD,PUT,AAPL,74.328575,30,74,2013-07-10
2013-01-14,USD,PUT,AMZN,272.730011,650,275,2014-01-09
2013-01-14,USD,PUT,BA,76.550003,500,76,2014-01-09
2013-01-14,USD,PUT,BA,76.550003,70,73,2013-04-14
2013-01-14,USD,CALL,XRX,19.499342000000002,730,18,2013-04-14
2013-01-15,USD,CALL,AAPL,69.41714499999999,40,71,2014-01-10
2013-01-15,USD,CALL,AMZN,271.899994,880,264,2014-01-10
2013-01-16,USD,CALL,CHK,16.376537,670,17,2014-01-11
2013-01-16,USD,CALL,AMZN,268.929993,630,268,2013-07-15
2013-01-16,USD,PUT,FB,29.85,140,30,2013-07-15
2013-01-16,USD,PUT,CHK,16.376537,440,16,2014-01-11
2013-01-16,USD,CALL,FB,29.85,840,28,2013-04-16
2013-01-16,USD,CALL,AAPL,72.298569,760,75,2013-07-15
2013-01-16,USD,PUT,CHK,16.376537,870,16,2014-01-11
2013-01-16,USD,PUT,FB,29.85,510,29,2013-04-16
2013-01-17,USD,CALL,MSFT,27.25,320,28,2013-04-17
2013-01-17,USD,PUT,AAPL,71.811432,180,68,2013-04-17
2013-01-18,USD,PUT,AAPL,71.428574,80,73,2013-07-17
2013-01-18,USD,PUT,AAPL,71.428574,850,74,2014-01-13
2013-01-18,USD,PUT,XRX,20.131752,640,20,2014-01-13
2013-01-18,USD,CALL,XRX,20.131752,490,20,2013-04-18
2013-01-18,USD,PUT,MSFT,27.25,310,26,2013-07-17
2013-01-18,USD,CALL,BA,75.040001,630,74,2013-04-18
2013-01-22,USD,CALL,XRX,19.841898,10,19,2014-01-17
2013-01-22,USD,CALL,FB,30.73,500,31,2013-04-22
2013-01-22,USD,CALL,XRX,19.841898,770,20,2013-04-22
2013-01-22,USD,CALL,MSFT,27.15,650,28,2013-07-21
2013-01-22,USD,CALL,FB,30.73,80,30,2013-04-22
2013-01-22,USD,PUT,XRX,19.841898,800,20,2014-01-17
2013-01-22,USD,CALL,MSFT,27.15,690,27,2013-04-22
2013-01-23,USD,CALL,AAPL,73.43,100,75,2013-07-22
2013-01-23,USD,CALL,MSFT,27.610001,940,28,2013-07-22
2013-01-23,USD,CALL,MSFT,27.610001,40,28,2014-01-18
2013-01-23,USD,CALL,AAPL,73.43,780,73,2014-01-18
2013-01-23,USD,CALL,MSFT,27.610001,230,26,2013-07-22
2013-01-23,USD,CALL,BA,74.290001,400,73,2013-07-22
2013-01-24,USD,CALL,XRX,20.421608,120,19,2013-04-24
2013-01-24,USD,CALL,MSFT,27.629998999999998,460,27,2013-07-23
2013-01-24,USD,PUT,MSFT,27.629998999999998,980,27,2013-07-23
2013-01-24,USD,CALL,AMZN,273.459991,230,283,2013-04-24
2013-01-24,USD,CALL,AMZN,273.459991,340,282,2013-07-23
2013-01-24,USD,PUT,MSFT,27.629998999999998,330,27,2014-01-19
2013-01-24,USD,PUT,AMZN,273.459991,980,266,2013-04-24
2013-01-24,USD,PUT,CHK,17.757804999999998,150,17,2013-04-24
